absolute_altitude,image_name,pitch,pitch_flight,relative_altitude,roll,roll_flight,yaw,yaw_flight
279.26,DJI_0020.JPG,-35.6,1.3,64.3,0.0,7.2,-41.9,-41.6
279.26,DJI_0021.JPG,-35.6,0.5,64.3,0.0,3.6,-49.4,-50.9
279.26,DJI_0022.JPG,-35.6,-0.6,64.3,0.0,4.5,-62.1,-64.5
279.26,DJI_0023.JPG,-35.6,-2.0,64.3,0.0,5.6,-74.5,-78.2
279.26,DJI_0024.JPG,-35.6,-1.3,64.3,0.0,6.2,-84.4,-86.4
279.26,DJI_0025.JPG,-35.6,-0.6,64.3,0.0,6.3,-88.2,-88.3
279.36,DJI_0026.JPG,-35.6,-0.2,64.4,0.0,4.9,-89.0,-89.8
279.36,DJI_0027.JPG,-35.6,-1.1,64.4,0.0,4.0,-93.1,-94.9
279.26,DJI_0028.JPG,-35.6,-0.4,64.3,0.0,3.7,-96.3,-97.2
279.26,DJI_0042.JPG,-35.6,-1.6,64.3,0.0,1.8,-132.6,-134.8
279.26,DJI_0043.JPG,-35.6,-2.4,64.3,0.0,0.5,-143.2,-146.4
328.07,DJI_0286.JPG,-89.9,-7.2,112.1,0.0,-1.8,-179.8,-179.6
328.07,DJI_0287.JPG,-90.0,-6.3,112.1,0.0,-3.3,-179.9,-179.6
327.97,DJI_0288.JPG,-90.0,-6.1,112.0,0.0,-1.6,-179.9,-179.4
327.97,DJI_0289.JPG,-89.9,-6.0,112.0,0.0,-3.4,-179.6,-179.6
327.97,DJI_0290.JPG,-90.0,3.9,112.0,0.0,16.5,-163.4,-153.4
328.07,DJI_0291.JPG,-90.0,-11.1,112.1,0.0,17.5,-27.2,-14.0
328.17,DJI_0292.JPG,-90.0,-6.1,112.2,0.0,-3.5,-1.3,0.7
328.07,DJI_0293.JPG,-90.0,-4.9,112.1,0.0,0.9,0.4,0.4
328.07,DJI_0294.JPG,-90.0,-6.0,112.1,0.0,0.7,0.5,0.4
328.07,DJI_0295.JPG,-90.0,-5.4,112.1,0.0,1.4,0.8,0.4
328.07,DJI_0328.JPG,-90.0,-7.7,112.1,0.0,-1.7,-179.7,-179.7
328.07,DJI_0329.JPG,-89.9,-7.0,112.1,0.0,-2.4,179.9,-179.7
327.97,DJI_0330.JPG,-89.9,-7.3,112.0,0.0,-2.2,179.8,-179.5
328.07,DJI_0331.JPG,-90.0,-7.4,112.1,0.0,-2.2,179.9,-179.2
328.07,DJI_0332.JPG,-89.9,-8.3,112.1,0.0,-2.0,-179.6,-179.1
328.17,DJI_0333.JPG,-89.9,-8.9,112.2,0.0,-2.2,-179.5,-179.2
328.07,DJI_0334.JPG,-90.0,1.1,112.1,0.0,18.5,-27.4,-49.7
327.97,DJI_0335.JPG,-90.0,-5.3,112.0,0.0,-1.8,-1.0,0.8
327.97,DJI_0336.JPG,-90.0,-4.4,112.0,0.0,0.5,0.7,0.3
327.97,DJI_0337.JPG,-90.0,-4.3,112.0,0.0,0.7,0.4,0.4
328.07,DJI_0338.JPG,-90.0,-4.0,112.1,0.0,1.0,0.5,0.4
328.07,DJI_0339.JPG,-89.9,-4.0,112.1,0.0,1.0,0.5,0.3
328.07,DJI_0340.JPG,-90.0,-4.1,112.1,0.0,0.8,0.4,0.3
327.97,DJI_0369.JPG,-89.9,-6.5,112.0,0.0,-1.2,-179.6,-179.7
327.97,DJI_0370.JPG,-90.0,-7.2,112.0,0.0,-1.9,179.9,-179.9
328.07,DJI_0371.JPG,-89.9,-5.8,112.1,0.0,-2.8,179.8,-179.6
328.07,DJI_0372.JPG,-89.9,-5.2,112.1,0.0,-3.2,-179.9,-179.5
328.07,DJI_0373.JPG,-90.0,-6.3,112.1,0.0,-3.0,-179.8,-179.5
328.07,DJI_0374.JPG,-89.9,-7.1,112.1,0.0,-2.4,-179.3,-179.4
327.97,DJI_0375.JPG,-90.0,9.6,112.0,0.0,5.2,-164.2,-174.6
327.97,DJI_0376.JPG,-90.0,-5.4,112.0,0.0,20.0,-27.3,-32.4
327.97,DJI_0377.JPG,-90.0,-6.3,112.0,0.0,-2.2,-1.0,1.1
328.17,DJI_0378.JPG,-89.9,-2.2,112.2,0.0,1.0,0.5,0.5
328.07,DJI_0379.JPG,-90.0,-4.4,112.1,0.0,1.6,0.7,0.7
328.07,DJI_0380.JPG,-90.0,-4.6,112.1,0.0,1.0,0.7,0.3
328.07,DJI_0381.JPG,-90.0,-5.3,112.1,0.0,2.2,0.5,0.3
327.97,DJI_0382.JPG,-89.9,-4.6,112.0,0.0,1.8,0.6,0.4
