image_name,yaw,pitch,roll
DJI_0020.JPG,-41.9,-35.6,0.0
DJI_0021.JPG,-49.4,-35.6,0.0
DJI_0022.JPG,-62.1,-35.6,0.0
DJI_0023.JPG,-74.5,-35.6,0.0
DJI_0024.JPG,-84.4,-35.6,0.0
DJI_0025.JPG,-88.2,-35.6,0.0
DJI_0026.JPG,-89.0,-35.6,0.0
DJI_0027.JPG,-93.1,-35.6,0.0
DJI_0028.JPG,-96.3,-35.6,0.0
DJI_0042.JPG,-132.6,-35.6,0.0
DJI_0043.JPG,-143.2,-35.6,0.0
DJI_0286.JPG,-179.8,-89.9,0.0
DJI_0287.JPG,-179.9,-90.0,0.0
DJI_0288.JPG,-179.9,-90.0,0.0
DJI_0289.JPG,-179.6,-89.9,0.0
DJI_0290.JPG,-163.4,-90.0,0.0
DJI_0291.JPG,-27.2,-90.0,0.0
DJI_0292.JPG,-1.3,-90.0,0.0
DJI_0293.JPG,0.4,-90.0,0.0
DJI_0294.JPG,0.5,-90.0,0.0
DJI_0295.JPG,0.8,-90.0,0.0
DJI_0328.JPG,-179.7,-90.0,0.0
DJI_0329.JPG,179.9,-89.9,0.0
DJI_0330.JPG,179.8,-89.9,0.0
DJI_0331.JPG,179.9,-90.0,0.0
DJI_0332.JPG,-179.6,-89.9,0.0
DJI_0333.JPG,-179.5,-89.9,0.0
DJI_0334.JPG,-27.4,-90.0,0.0
DJI_0335.JPG,-1.0,-90.0,0.0
DJI_0336.JPG,0.7,-90.0,0.0
DJI_0337.JPG,0.4,-90.0,0.0
DJI_0338.JPG,0.5,-90.0,0.0
DJI_0339.JPG,0.5,-89.9,0.0
DJI_0340.JPG,0.4,-90.0,0.0
DJI_0369.JPG,-179.6,-89.9,0.0
DJI_0370.JPG,179.9,-90.0,0.0
DJI_0371.JPG,179.8,-89.9,0.0
DJI_0372.JPG,-179.9,-89.9,0.0
DJI_0373.JPG,-179.8,-90.0,0.0
DJI_0374.JPG,-179.3,-89.9,0.0
DJI_0375.JPG,-164.2,-90.0,0.0
DJI_0376.JPG,-27.3,-90.0,0.0
DJI_0377.JPG,-1.0,-90.0,0.0
DJI_0378.JPG,0.5,-89.9,0.0
DJI_0379.JPG,0.7,-90.0,0.0
DJI_0380.JPG,0.7,-90.0,0.0
DJI_0381.JPG,0.5,-90.0,0.0
DJI_0382.JPG,0.6,-89.9,0.0
